id	extent	pages	description	type	rights	identifier	format	date	coverage	publisher	language	contributor	title	creator
154733563	Knjiga 1-	1					Language material	1999		Beograd : D. Milićević	srp		Mileva Marić-Ajnštajn - planetarni genije : žrtva najveće naučne obmane dvadesetog veka	Milićević, Dragan
16385663X							Language material	2005			ger		In den falschen Mann verliebt - Mileva Einstein-Maric	Vonarburg, Barbara
268954585	159 S	159	Unveränderter Nachdruck der fünften Auflage von 1923. Inhaltsverzeichnis: - Lorentz H.A.: - Der Interferenzversuch Michelsons. - Elektromagnetische Erscheinungen in einem System, das sich mit beliebiger, die des Lichtes nicht Erreichender Geschwindigkeit bewegt. - Einstein A.: - Zur Elektrodynamik bewegter Körper. - Ist die Trägheit eines Körpers von seinem Energieinhalt abhängig? - Über den Einfluss der Schwerkraft auf die Ausbreitung des Lichtes. - Die Grundlage der allgemeinen Relativitätstheorie. - Hamiltonsches Prinzip und allgemeine Relativitätstheorie. - Kosmologische Betrachtungen zur allgemeinen Relativitätstheorie. - Spielen Gravitationsfelder im Aufbau der materiellen Elementarteilchen eine wesentliche Rolle? - Minkowski H.: - Raum und Zeit. - Sommerfeld A.: - Anmerkungen zu Minkowski, Raum und Zeit. - Weyl H.: - Gravitation und Elektrizität	Aufsatzsammlung		3-519-07306-4	Language material	1982		Stuttgart : Teubner	ger	Einstein, A.␟Minkowski, H.	Das Relativitätsprinzip - Eine Sammlung von Abhandlungen	Lorentz, H.A.
198708408	Online-Ressource		"""This volume ... is based largely on papers presented at the Sixth International Conference on the History of General Relativity, held in Amsterdam on June 26-29, 2002."""			0-8176-4380-X␟978-0-8176-4380-5␟0-8176-4454-7 (eISBN)␟10.1007/0-8176-4454-7	Language material	2005		Boston : Birkhäuser	eng	Kox, A.J.␟International Conference on the History of General Relativity,	The universe of general relativity -	
273692550	383 S	383	"""This volume ... is based largely on papers presented at the Sixth International Conference on the History of General Relativity, held in Amsterdam on June 26-29, 2002.""␟Literaturverz"	Kongress		0-8176-4380-X␟978-0-8176-4380-5␟0-8176-4454-7 (eISBN)	Language material	2005		Boston : Birkhäuser	eng	Kox, A.J.␟International Conference on the History of General Relativity,	The universe of general relativity -	
168184095	28 S	28				3-85665-510-7	Language material	1986		Zürich : Europa-Verlag	ger		Fahnde mit mir! - [ein Fall mit Detektiv] Schnupper-Tony	Csillag, Albert
152101543	42 p	42	"""Berichtigung"" leaf inserted between p. 22 and [23]"				Language material	1924		Bonn : L. Röhrscheid	ger		Die Planetenbewegung auf Grund der Quantentheorie und eine Kritik der Einsteinschen Gravitationsgleichungen -	Bucherer, Alfred Heinrich
149979088	88 S	88					Language material	1958		Haarlem : Bohn	dut		Tijd en ruimte - de opvattingen van Albert Einstein over de absolute betrekkingen volgens tijd en ruimte tussen voorvallen in de werkelijheid en haar betekenis voor de wijsbegeerte der anorganische natuur	Kockelmans, Joseph John (1923-)
193582309	11 Bl	11	Dokumentation zum Ausstellungsbesuch				Language material	2004		[S.l.] : [Linthverband]	ger	Linthverband,	Linthverband, Herbstausflug 5. November 2005 - Sonderausstellung Albert Einstein, Historisches Museum Bern	Walser, Stefan
412142066	291 S	291	Contient: Grundzüge der philosophischen Auffassungen Albert Einsteins / Heiner Steinberg. Philosophische Aspekte des Einsteinschen Programms zur Weiterentwicklung der Physik / Anneliese Griese. Der deutsche Imperialismus, Einstein und die Relativitätstheorie (1914-1933) / Siegfried Grundmann				Language material	1967		Berlin : Deutscher Verlag der Wissenschaften	ger	Griese, Anneliese␟Grundmann, Siegfried	Relativitätstheorie und Weltanschauung - zur philosophischen und wissenschaftspolitischen Wirkung Albert Einsteins	Steinberg, Heiner
